name,last_modified,size
AERDT_L2_VIIRS_SNPP.A2020354.0454.001.2020354131733.nc,2021-01-12 05:40,8404061
AERDT_L2_VIIRS_SNPP.A2020354.0630.001.2020354190936.nc,2021-01-12 05:40,7895396
AERDT_L2_VIIRS_SNPP.A2020354.0636.001.2020354190935.nc,2021-01-12 05:40,8984328
AERDT_L2_VIIRS_SNPP.A2020355.0612.001.2020355191344.nc,2021-01-12 05:40,8206584
AERDT_L2_VIIRS_SNPP.A2020355.0618.001.2020355191345.nc,2021-01-12 05:40,9156215
AERDT_L2_VIIRS_SNPP.A2020356.0548.001.2020356131928.nc,2021-01-12 05:40,8105194
AERDT_L2_VIIRS_SNPP.A2020356.0554.001.2020356133118.nc,2021-01-12 05:40,8988266
AERDT_L2_VIIRS_SNPP.A2020356.0730.001.2020356192554.nc,2021-01-12 05:40,9624596
AERDT_L2_VIIRS_SNPP.A2020356.0736.001.2020356192552.nc,2021-01-12 05:40,12618172
AERDT_L2_VIIRS_SNPP.A2020357.0530.001.2020357132114.nc,2021-01-12 05:40,8163665
AERDT_L2_VIIRS_SNPP.A2020357.0536.001.2020357132114.nc,2021-01-12 05:40,8218916
AERDT_L2_VIIRS_SNPP.A2020357.0712.001.2020357192911.nc,2021-01-12 05:40,8673555
AERDT_L2_VIIRS_SNPP.A2020357.0718.001.2020357192911.nc,2021-01-12 05:40,11077018
AERDT_L2_VIIRS_SNPP.A2020358.0518.001.2020358132031.nc,2021-01-12 05:40,8432608
AERDT_L2_VIIRS_SNPP.A2020358.0654.001.2020358192240.nc,2021-01-12 05:40,8408432
AERDT_L2_VIIRS_SNPP.A2020358.0700.001.2020358192241.nc,2021-01-12 05:40,11053887
AERDT_L2_VIIRS_SNPP.A2020359.0500.001.2020359132038.nc,2021-01-12 05:40,10493699
AERDT_L2_VIIRS_SNPP.A2020359.0636.001.2020359192613.nc,2021-01-12 05:40,8680613
AERDT_L2_VIIRS_SNPP.A2020359.0642.001.2020359192616.nc,2021-01-12 05:40,9550173
AERDT_L2_VIIRS_SNPP.A2020360.0442.001.2020360131557.nc,2021-01-12 05:40,9976687
AERDT_L2_VIIRS_SNPP.A2020360.0618.001.2020360191138.nc,2021-01-12 05:40,9571671
AERDT_L2_VIIRS_SNPP.A2020360.0624.001.2020360191138.nc,2021-01-12 05:40,8907095
AERDT_L2_VIIRS_SNPP.A2020361.0600.001.2020361191348.nc,2021-01-12 05:40,9063577
AERDT_L2_VIIRS_SNPP.A2020361.0736.001.2020361191348.nc,2021-01-12 05:40,9757100
AERDT_L2_VIIRS_SNPP.A2020361.0742.001.2020361191348.nc,2021-01-12 05:40,13670031
AERDT_L2_VIIRS_SNPP.A2020362.0536.001.2020362132651.nc,2021-01-12 05:40,8794777
AERDT_L2_VIIRS_SNPP.A2020362.0542.001.2020362132650.nc,2021-01-12 05:40,8993482
AERDT_L2_VIIRS_SNPP.A2020362.0718.001.2020362191957.nc,2021-01-12 05:40,9868367
AERDT_L2_VIIRS_SNPP.A2020362.0724.001.2020362191955.nc,2021-01-12 05:40,12578835
AERDT_L2_VIIRS_SNPP.A2020363.0518.001.2020363132238.nc,2021-01-12 05:40,7985551
AERDT_L2_VIIRS_SNPP.A2020363.0524.001.2020363132239.nc,2021-01-12 05:40,9102818
AERDT_L2_VIIRS_SNPP.A2020363.0700.001.2020363192551.nc,2021-01-12 05:40,9739428
AERDT_L2_VIIRS_SNPP.A2020363.0706.001.2020363192551.nc,2021-01-12 05:40,11498773
AERDT_L2_VIIRS_SNPP.A2020364.0506.001.2020364131959.nc,2021-01-12 05:40,9128323
AERDT_L2_VIIRS_SNPP.A2020364.0642.001.2020364192536.nc,2021-01-12 05:40,9437921
AERDT_L2_VIIRS_SNPP.A2020364.0648.001.2020364192528.nc,2021-01-12 05:40,10385074
AERDT_L2_VIIRS_SNPP.A2020365.0448.001.2020365132037.nc,2021-01-12 05:40,8798630
AERDT_L2_VIIRS_SNPP.A2020365.0624.001.2020365191636.nc,2021-01-12 05:40,9689675
AERDT_L2_VIIRS_SNPP.A2020365.0630.001.2020365191636.nc,2021-01-12 05:40,9448815
AERDT_L2_VIIRS_SNPP.A2020366.0606.001.2020366192911.nc,2021-01-12 05:40,9295520
AERDT_L2_VIIRS_SNPP.A2020366.0612.001.2020366192909.nc,2021-01-12 05:40,8859337
AERDT_L2_VIIRS_SNPP.A2020366.0742.001.2020366192909.nc,2021-01-12 05:40,9262210
checksums_501539969,1970-01-01 00:00,10210
